Site Crawl Report,saidharmasamrakshanapremakuteeram.qzz.io,2026-08-18
Generated by,seoscore.tools,
Pages scanned,10,

URL,SEO Score,AEO Score,GEO Score,Overall,Failed Checks
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",98,96,88,95,14
"https://saidharmasamrakshanapremakuteeram.qzz.io/index.html",98,96,88,95,14
"https://saidharmasamrakshanapremakuteeram.qzz.io/about.html",84,54,49,68,77
"https://saidharmasamrakshanapremakuteeram.qzz.io/trustees.html",84,42,48,65,85
"https://saidharmasamrakshanapremakuteeram.qzz.io/gallery.html",86,46,46,66,82
"https://saidharmasamrakshanapremakuteeram.qzz.io/events.html",86,42,46,65,83
"https://saidharmasamrakshanapremakuteeram.qzz.io/dashboard.html",70,53,43,59,96
"https://saidharmasamrakshanapremakuteeram.qzz.io/seva.html",87,40,46,65,84
"https://saidharmasamrakshanapremakuteeram.qzz.io/privacy",70,39,33,53,104
"https://saidharmasamrakshanapremakuteeram.qzz.io/terms",69,31,27,49,111

All Failed Checks,,,,,
URL,Check ID,Category,Description
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",theme_color,SEO,"No theme-color meta tag (optional, no SEO impact — only affects mobile browser UI)"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",transition_words,SEO,"17% sentences use transition words — aim for 20%+"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",indexnow,SEO,"No IndexNow integration — optional: speeds up Bing/Yandex indexing only, Google does not use IndexNow"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",section_depth,SEO,"1 of 13 H2 sections have < 50 words — add more content or merge thin sections"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",aeo_ai_crawlers,AEO,"robots.txt blocks AI search crawlers (2/8 blocked) — blocked bots (GPTBot, OAI-SearchBot, ClaudeBot, PerplexityBot etc.) cannot cite your content"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",aeo_data_attribution,AEO,"Statistics lack source references — attribute data to boost AI trust"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_paragraph_length,GEO,"56% optimal paragraphs — aim for 20-80 words per paragraph"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_comparison,GEO,"No comparison content — add vs. sections for AI recommendations"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_statistics_density,GEO,"Only 2 data points — adding statistics measurably boosts generative-engine visibility (GEO study, arXiv:2311.09735)"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_knowledge_graph,GEO,"Only 1 authoritative sameAs link — add Wikipedia, LinkedIn, or Wikidata for entity disambiguation"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_passage_citability,GEO,"0% citation-ready passages — write self-contained 120-180 word sections that open with a definition/answer"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_video_schema,GEO,"Video without VideoObject schema — add name, description, thumbnailUrl, uploadDate (+ captions/transcript)"
"https://saidharmasamrakshanapremakuteeram.qzz.io/?v=1.1.0",geo_bot_access,GEO,"3 AI crawler(s) blocked/challenged: GPTBot, ClaudeBot, PerplexityBot — cannot index this page"
